indicator_id,name,kinedu_category,general_category_MF,specific_category_MF,spanish,general_category,specific_category,cdc_months,cdc_wording,cdc_category,WHO_months_50th_pcntl,WHO_CI_lower,WHO_CI_upper,WHO_milestone
176,Understands the meaning of no,orders,language and communication,comprehension,"Comprende el significado del ""No""",language and communication,comprehension,9,"Understands ""no""",lang/comm,,,,
25,Points index finger towards objects he/she is about to take,point out,language and communication,communication,Dirige su dedo êndice hacia el objeto que va a tomar,language and communication,communication,9,Uses fingers to point at things,lang/comm,,,,
200,Begins to have a coordinated crawl,crawl,locomotor,crawling,Empieza a tener gateo coordinado,locomotor,crawling,9,Crawls,movement,,,,
378,Uses the pincer grasp (index finger and thumb) coordinately,NA,locomotor,manipulation,Utiliza la prensiê_n en pinza coordinadamente,locomotor,coordination,9,Picks up things like cereal oês between thumb and index finger,movement,,,,
118,Remains sitting without support,sit,locomotor,sitting,Se mantiene en posiciÜn sentado sin soporte,locomotor,sitting,9,Sits without support,movement,5.9,5.8,6,Sitting without support
113,Holds on to furniture to stand up and stay standing,standing,locomotor,standing,Se agarra de los muebles para levantarse y quedarse de pie,locomotor,standing,9,"Stands, holding on",movement,,,,
245,Remains standing and held on to something,standing,locomotor,standing,Permanece parado y agarrado de algo,locomotor,standing,9,"Stands, holding on",movement,,,,
344,Identifies by naming or pointing at his/her favorite toy,NA,language and communication,communication,Identifica nombrando o seê±alando su juguete favorito,language and communication,communication,9,Has favorite toys,soc,,,,
217,Bangs one object with another,actions with objects,play,actions with objects,Golpea un objeto contra otro,locomotor,manipulation,12,Bangs two things together,cog,,,,
203,"Finds hidden objects, noticing that objects that are not in sight still exist",search,cognition,physical understanding,"Encuentra objetos escondidos, dêçndose cuenta que el objeto aê_n existe aunque no estê© a la vista ",cognition,abstract/conceptual reasoning,12,Finds hidden things easily,cog,,,,
320,Understands simple orders (e.g. pick up the toy),NA,language and communication,comprehension,"Comprende ê_rdenes simples (por Ej. ""recoje el juguete"") ",language and communication,comprehension,12,Follows simple directions like ñpick up the toyî,cog,,,,
19,Understands simple orders (e.g. pick up the toy),orders,language and communication,comprehension,"Comprende ê_rdenes simples (por Ej. ""recoje el juguete"")",language and communication,comprehension,12,Follows simple directions like ñpick up the toyî,cog,,,,
135,Lets go and drops objects he/she is grabbing,grasp objects,play,objects,Suelta y deja caer lo que tiene en sus manos,locomotor,coordination,12,Lets things go without help,cog,,,,
384,Searches for familiar people when they are named,NA,language and communication,comprehension,Busca a las personas conocidas cuando alguien las nombra,language and communication,comprehension,12,Looks at the right picture or thing when itÍs named,cog,,,,
450,Identifies familiar objects when they are named,NA,language and communication,comprehension,Identifica objetos familiares que le son nombrados,language and communication,comprehension,12,Looks at the right picture or thing when itÍs named,cog,,,,
235,Inserts and removes objects from a container,manipulate,locomotor,manipulation,Mete y saca objetos de un recipiente,locomotor,coordination,12,"Puts things in a container, takes things out of a container",cog,,,,
103,Recognizes objects and begins to use them adequately (sippy cup is for drinking),recognize,social and emotional,recognition,Reconoce objetos y comienza a utilizarlos adecuadamente (el vaso entrenador es para beber),social and emotional,recognition,12,"Starts to use things correctly; for example, drinks from a cup, brushes hair",cog,,,,
175,"Begins to talk a bit (mama, dada)",talk,language and communication,babbling,"Comienza hablar un poco (mam_, tete)",language and communication,babbling,12,Says ñmamaî and ñdadaî and exclamations like ñuh-oh!î,lang/comm,,,,
353,Appears to understand conversations: looking at the speaker and repeating words,NA,language and communication,communication,Muestra comprensiê_n de lo que escucha: mirando al emisor y repitiendo palabras mencionadas,language and communication,communication,12,Tries to say words you say,lang/comm,,,,
180,Speaks with gestures,communication abilities,language and communication,communication,Conversa con gestos,language and communication,communication,12,"Uses simple gestures, like shaking head ñnoî or waving ñbye-byeî",lang/comm,,,,
270,"Sits up by him/herself and remains seated for a few minutes, even without support",sit,locomotor,sitting,"Se incorpora solo a la posiciÜn de sentado y se queda sentado durante unos minutos, incluso sin apoyarse",locomotor,sitting,12,Gets to a sitting position without help,movement,,,,
274,Stands up by him/herself,standing,locomotor,standing,Se pone de pie solo ,locomotor,standing,12,May stand alone,movement,,,,
184,Takes steps forward with less help,walk,locomotor,walking,Da pasos hacia adelante disminuyendo ayuda,locomotor,walking,12,May take a few steps without holding on,movement,,,,
15,Begins to walk by leaning on the furniture,walk,locomotor,walking,Comienza a caminar apoy_ndose en los muebles,locomotor,walking,12,"Pulls up to stand, walks holding on to furniture (ñcruisingî)",movement,,,,
166,Walks aiding him/herself with furniture,walk,locomotor,walking,Camina apoyêçndose en los muebles,locomotor,walking,12,"Pulls up to stand, walks holding on to furniture (ñcruisingî)",movement,,,,
250,Protests when left alone,social and emotional,social and emotional,attachment,Protesta cuando se le deja solo,social and emotional,attachment,12,Cries when mom or dad leaves,soc,,,,
59,Interacts through smiles and games,social and emotional,language and communication,communication,Interactê_a a travê©s de sonrisas y juegos,language and communication,communication,12,Plays games such as ñpeek-a-booî and ñpat-a-cakeî,soc,,,,
411,Helps you while dressing and undressing,NA,social and emotional,social routines,Ayuda al vestirse y desvestirse,social and emotional,social routines,12,Puts out arm or leg to help with dressing,soc,,,,
108,Repeats actions that get attention or are funny for others,social and emotional,language and communication,communication,Repite acciones que llaman la atenciÜn o resultan graciosas para los dem_s,language and communication,communication,12,Repeats sounds or actions to get attention,soc,,,,
107,Associates verbal commands with respective actions (gives you a toy when you ask for it),orders,language and communication,comprehension,Relaciona ê_rdenes verbales con sus respectivas acciones (te da un juguete cuando se lo pides),language and communication,comprehension,18,"Can follow 1-step verbal commands without any gestures; for example, sits when you say ñsit downî",cog,,,,
307,Points from one to three body parts when asked to do so,NA,language and communication,comprehension,Seê±ala de una a tres partes de su cuerpo cuando se le indica,language and communication,comprehension,18,Points to one body part,cog,,,,
278,Points at an object that he/she wants,point out,language and communication,communication,Seê±ala lo que desea,language and communication,communication,18,Points to show someone what he wants,lang/comm,,,,
24,Says one to four words with meaning ,talk,language and communication,production,Dice una o cuatro palabras con significado ,language and communication,production,18,Says several single words,lang/comm,,,,
328,Says three to four words with meaning,NA,language and communication,production,Dice tres a cuatro palabras con significado,language and communication,production,18,Says several single words,lang/comm,,,,
306,Begins using the spoon and the fork while eating,NA,locomotor,other,Comienza a utilizar la cuchara y el tenedor al comer,locomotor,coordination,18,Eats with a spoon,movement,,,,
381,Goes down stairs with help,NA,locomotor,stairs,Baja escaleras con ayuda,locomotor,stairs,18,May walk up steps and run,movement,,,,
355,Pushes or pulls toys while walking,NA,locomotor,walking, Empuja o jala juguetes al caminar,locomotor,walking,18,Pulls toys while walking,movement,,,,
415,Walks without support,NA,locomotor,walking,Camina sin apoyo,locomotor,walking,18,Walks alone,movement,,,,
16,Begins to walk alone,walk,locomotor,walking,Comienza a caminar solo,locomotor,walking,18,Walks alone,movement,,,,
329,Enjoys playing pretend (e.g. pretending his/her spoon is a plane),NA,play,pretend,Disfruta los juegos de simulaciê_n (como simular que la cuchara es un aviê_n al comer),cognitive,pretend,18,"Plays simple pretend, such as feeding a doll",soc,,,,
308,Hugs people he/she knows,NA,social and emotional,social routines,Abraza a personas conocidas,social and emotional,social routines,18,Shows affection to familiar people,soc,,,,
36,Is affectionate,social and emotional,social and emotional,social routines,Es afectuoso,social and emotional,social routines,18,Shows affection to familiar people,soc,,,,
503,Sorts objects by their shape,NA,cognition,reasoning,Clasifica por figuras geomê©tricas,cognition,problem solving,24,Begins to sort shapes and colors,cog,,,,
521,Groups objects by color,NA,cognition,reasoning,Agrupa objetos por color,cognition,abstract/conceptual reasoning,24,Begins to sort shapes and colors,cog,,,,
492,Sorts objects by color,NA,cognition,reasoning,Clasifica objetos segê_n su color,cognition,abstract/conceptual reasoning,24,Begins to sort shapes and colors,cog,,,,
407,Builds towers with four to six blocks ,NA,play,toy play, Construye torres de cuatro a seis cubos o bloques ,locomotor,coordination,24,Builds towers of 4 or more blocks,cog,,,,
421,Follows two-step instructions like find your doll and bring it to me,NA,language and communication,comprehension,"Sigue instrucciones de dos pasos como ""busca tu muê±eca y trêçela""",language and communication,comprehension,24,Follows two-step instructions such as ñPick up your shoes and put them in the closet.î,cog,,,,
542,Uses one hand more than the other,NA,cognition,misc,Utiliza mêçs una mano que otra,cognition,misc,24,Might use one hand more than the other,cog,,,,
478,Identifies or names objects in a storybook,NA,cognition,knowledge,Identifica o nombra objetos dentro de un cuento,cognition,knowledge,24,"Names items in a picture book such as a cat, bird, or dog",cog,,,,
475,Starts playing imaginary games (e.g. dressing up or acting like a fireman),NA,play,pretend,Comienza a jugar juegos imaginarios (por Ej. disfrazarse o actuar como un bombero),cognitive,pretend,24,Plays simple make-believe games,cog,,,,
282,Follows instructions during playtime,orders,language and communication,comprehension,Sigue instrucciones mientras juega,language and communication,comprehension,24,Follows simple instructions,lang/comm,,,,
